,Unnamed: 0,Column1,Год,Строительство,Индекс_ном_зп_строительство,реал_изменение_строительство,Реал_строительство,Рекламная деятельность,Индекс_ном_зп_реклама,реал_изменение_реклама,Реал_реклама,Инфляция,Реал_строительство_норм,Реал_реклама_норм,Инфляция_норм,Ср_инфл
0,0,0,2002,4806.9,100.0,0.0,4806.9,6685.7,0.0,0.0,6685.7,15.06,-1.7716880810476237,-2.1979801493015643,1.7491532330880217,
1,1,1,2003,6176.7,128.4965362,14.73929478,5515.403161,8429.7,126.0855258,12.5864147,7527.189928,11.99,-1.5137506109311425,-1.975585621655953,0.8941383802774615,
2,2,2,2004,7304.7,118.2621788,5.83692396,5837.33305,11773.1,139.6621469,24.98849734,9408.121583,11.74,-1.3965489021817592,-1.4784805547639308,0.8245117635990772,
3,3,3,2005,9042.8,123.7942694,11.61686903,6515.448385,23119.1,196.3722384,77.05548499,16657.5953,10.91,-1.1496744158206604,0.437458340432791,0.593351396226841,
4,4,4,2006,10869.2,120.197284,10.27273764,7184.763304,30021.7,129.8566986,19.13458585,19844.95717,9.0,-0.9060038065400939,1.2798354312662328,0.06140404480398433,0.8245117635990772
5,5,5,2007,14333.4,131.8717109,17.87942334,8469.357551,40758.9,135.7647968,21.3594322,24083.72734,11.87,-0.4383347706959963,2.4000856664603223,0.8607176042718367,0.6468246378358402
6,6,6,2008,18574.0,129.5854438,14.3939299,9688.430939,29444.5,72.240664,-36.2282274,15358.61983,13.28,0.005480758853980144,0.09415650583984488,1.2534117223379246,0.7186793062479327
7,7,7,2009,18122.2,97.56756757,-10.32392687,8688.204414,29285.8,99.46101988,-8.583621429,14040.29405,8.8,-0.3586614406497691,-0.25425935675159883,0.005702751461277028,0.5549175038203727
8,8,8,2010,21171.7,116.8274271,7.397892199,9330.948411,34862.6,119.042676,9.434340846,15364.90325,8.78,-0.12466423408157591,0.09581712966480281,0.00013262212700590175,0.4362737490004057
9,9,9,2011,23682.0,111.8568655,5.425886459,9837.235077,38256.7,109.7356479,3.426623887,15891.40069,6.1,0.05965435328708044,0.23496335777678537,-0.7462647086652745,0.2747399983065539
10,10,10,2012,25950.6,109.5794274,2.814249778,10114.07944,37153.8,97.11710628,-8.878676783,14480.45459,6.58,0.16044223757462664,-0.13793081599984675,-0.6125816046427764,-0.019919843476368704
11,11,11,2013,27701.4,106.7466648,0.278689354,10142.26631,44231.2,119.0489264,11.83553439,16194.29377,6.45,0.17070394188098537,0.3150139456831974,-0.6487874453155362,-0.4003596770070608
12,12,12,2014,29354.3,105.9668464,-4.842989906,9651.077373,52423.3,118.5210892,6.430575778,17235.6801,11.36,-0.008118170331134579,0.5902384174809715,0.7186793062479326,-0.25776436604972974
13,13,13,2015,29960.0,102.0634115,-9.606402007,8723.956082,43408.2,82.80325733,-26.66437222,12639.89421,12.91,-0.34564569801942036,-0.624366295134098,1.150364329653916,-0.02771802454434775
14,14,14,2016,32331.8,107.9165554,2.407055805,8933.946574,54922.6,126.5258638,20.066297,15176.25292,5.38,-0.2691966160159671,0.0459593718538996,-0.9467893646990214,-0.06782295575109712
15,15,15,2017,43711.7,135.1972362,31.87401108,11781.55369,48741.2,88.74525241,-13.43615645,13137.14783,2.52,0.76750246426764,-0.4929488173244644,-1.7433178594997387,-0.2939702067224895
16,16,16,2018,50086.8,114.5844248,9.892034876,12946.98909,55501.5,113.8697857,9.206661288,14346.64054,4.27,1.191790562341755,-0.17329607879369446,-1.2559315427510482,-0.41539902620959196
17,17,17,2019,53153.9,106.1235695,2.982600178,13333.14601,59804.8,107.7534841,4.564273789,15001.46049,3.05,1.3323747467117844,-0.00023592842529621642,-1.595709432141564,-0.8782767738874913
18,18,18,2020,55864.6,105.0997199,1.047706826,13472.8383,69523.3,116.2503679,11.7684529,16766.9003,4.01,1.383231084214247,0.46634618927737476,-1.3283432240965678,-1.3740182846375881
19,19,19,2021,61631.5,110.3229952,1.78337046,13713.10891,76230.9,109.6479885,1.160613079,16961.49914,8.39,1.4707039378275901,0.5177760586818052,-0.10848489989127338,-1.2063573916760384
20,20,20,2022,72704.3,117.9661374,5.402195717,14453.9179,91782.2,120.4002576,7.577070799,18246.68394,11.92,1.740402659355447,0.8574332037324103,0.8746429276075138,-0.6827652342545879
